name,Continent,GDP,MedalCount,Gold,Silver,Bronze,AthletesCount,Population
Jordan,asia,39196676056.0,1,1,0,0,5,9551467.0
Kazakhstan,europe,137278000000.0,2,1,0,1,22,17794055.0
Philippines,asia,304898000000.0,1,0,1,0,5,103663927.0
Mauritania,africa,4679346591.0,0,0,0,0,2,4163534.0
Kyrgyzstan,asia,6813092066.0,0,0,0,0,5,6079500.0
Macedonia,europe,10672471861.0,0,0,0,0,3,2080745.0
Chinise Taipei,asia,1130000000000.0,0,0,0,0,20,23539816.0
Latvia,europe,27734140217.0,0,0,0,0,4,1959537.0
Japan,asia,4926670000000.0,6,2,1,3,28,126994511.0
Belarus,europe,47722657821.0,0,0,0,0,30,9501534.0
Honduras,americas,21717622071.0,0,0,0,0,6,9270795.0
Mexico,americas,1077900000000.0,1,0,1,0,30,123333376.0
Egypt,africa,332928000000.0,0,0,0,0,72,94447072.0
Cuba,americas,91370000000.0,4,1,0,3,28,11335109.0
South Koreas,asia,1414800000000.0,4,3,1,0,32,51245707.0
Comoros,africa,1012147324.0,0,0,0,0,2,795592.0
United Kingdom,europe,2694280000000.0,40,16,17,7,129,65595565.0
Greece,europe,195222000000.0,0,0,0,0,19,10775971.0
Sri Lanka,asia,82401038710.0,0,0,0,0,2,21203000.0
Namibia,africa,11286139080.0,0,0,0,0,5,2358041.0
Botswana,africa,15646316818.0,0,0,0,0,2,2159944.0
